Simulation,GSx,"WiGS (MAB-UCB1, c=0.5)",WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (SAC),GSy,WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=2.0)",QBC,"WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=5.0)",Passive Learning,iGS
64,19.9888653755188,30.62797713279724,31.73271870613098,31.222337245941162,43.13270306587219,20.51506996154785,34.65759611129761,30.068959712982178,30.510127305984497,27.039016723632812,36.61056590080261,36.345263957977295,17.45896291732788,25.095674753189087
65,19.700685024261475,28.303093910217285,33.079989194869995,32.8425087928772,39.62944674491882,20.36388659477234,32.17384052276611,27.64212155342102,28.399916172027588,27.053278923034668,32.83160042762756,28.38619041442871,17.543272256851196,23.095559120178223
66,19.97777485847473,33.78151559829712,33.88357377052307,33.54608178138733,39.805941343307495,20.760371923446655,28.841344356536865,33.714280128479004,29.375402688980103,27.46740984916687,34.367992877960205,33.590035915374756,17.82190775871277,24.075045108795166
67,19.99838399887085,28.56527352333069,28.56217336654663,28.46292781829834,39.61850357055664,20.626867294311523,32.29282808303833,28.378561973571777,28.528870105743408,27.12877130508423,32.31051969528198,32.241567850112915,17.529053449630737,23.914936304092407
68,19.95227813720703,36.20961666107178,35.83789134025574,36.19621419906616,41.84412097930908,20.489309787750244,29.24952721595764,34.57531547546387,30.446800708770752,26.87472128868103,35.72224807739258,37.20686936378479,17.39474129676819,25.08172869682312
69,19.86695909500122,29.119609832763672,33.673765420913696,33.123230934143066,40.79173135757446,20.420087099075317,28.628018617630005,29.24388360977173,28.998075008392334,27.058653831481934,28.828378677368164,28.89849829673767,17.638963222503662,24.43857216835022
70,19.99437689781189,28.79636287689209,28.7098605632782,28.9219970703125,40.34047818183899,20.988635063171387,32.70035266876221,32.68622088432312,28.809210777282715,27.27157497406006,32.60545325279236,32.65000653266907,17.643975257873535,23.82964015007019
71,19.53998637199402,31.300394535064697,31.65663719177246,31.94649314880371,38.478304862976074,20.14519190788269,27.45385479927063,30.654391765594482,27.06894874572754,26.827133417129517,30.921682834625244,31.8125057220459,17.398600339889526,22.595418453216553
72,19.55591106414795,33.62127184867859,33.323668241500854,33.12201714515686,41.0802047252655,20.138031721115112,28.307451486587524,32.54312038421631,27.982903003692627,26.664310932159424,34.46222448348999,33.695496797561646,17.359978914260864,23.118186235427856
73,19.675743103027344,27.54144811630249,31.913838624954224,32.320884227752686,38.67494320869446,20.23266887664795,27.025114059448242,26.857959032058716,32.65497303009033,26.897151470184326,27.182645320892334,31.87053632736206,17.87201189994812,22.68415069580078
