Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
54,4.939668655395508,5.181867837905884,5.334072589874268,5.431787490844727,5.510424852371216,5.677163600921631,5.1223671436309814,5.4984800815582275,5.5359416007995605,5.527716159820557,5.524330139160156,5.545936107635498,5.540958404541016,5.699093580245972,5.558642387390137,19.869168519973755,7.947638511657715
55,4.981579303741455,5.217558145523071,5.374818325042725,5.458001375198364,5.404068946838379,5.698277473449707,5.1287219524383545,5.52252459526062,5.528897285461426,5.550493955612183,5.548321008682251,5.527673006057739,5.540748119354248,5.684316158294678,5.546649932861328,19.71377444267273,7.9002344608306885
56,4.997219085693359,5.237898588180542,5.381664752960205,5.514308929443359,5.320185661315918,5.671456336975098,5.202593088150024,5.605090856552124,5.608944892883301,5.617597818374634,5.603500604629517,5.60564398765564,5.5942182540893555,5.736317157745361,5.624030351638794,8.115175485610962,7.942303419113159
57,5.958115100860596,6.175580739974976,6.432915449142456,6.646106958389282,6.388209342956543,6.88374137878418,6.299683570861816,6.770179510116577,6.76574182510376,6.756229400634766,6.768172025680542,6.797985315322876,6.761404514312744,6.741914510726929,6.884751796722412,9.882925033569336,9.675394773483276
58,5.05159330368042,5.274902582168579,5.433141231536865,5.529026031494141,5.319926500320435,5.736824989318848,5.201444387435913,5.613150119781494,5.625655651092529,5.670281648635864,5.622691869735718,5.625980377197266,5.632178783416748,5.776487112045288,5.671832084655762,8.336334466934204,8.027871370315552
59,5.691400527954102,5.995980501174927,6.148948907852173,5.839868783950806,5.571057081222534,6.016433477401733,5.440417528152466,5.933886289596558,6.296861410140991,6.377827405929565,6.4001829624176025,6.356178283691406,6.409585475921631,6.376262903213501,6.594176292419434,9.15626335144043,9.18114972114563
60,6.129732131958008,6.353534460067749,6.610187768936157,6.734121084213257,6.544485330581665,6.857125520706177,6.37241268157959,6.804210424423218,6.8360583782196045,6.8061089515686035,6.79512357711792,6.7276451587677,6.796072959899902,7.005587339401245,6.808901786804199,8.460955142974854,8.445091724395752
61,5.980788469314575,6.177977085113525,6.434962749481201,6.67243766784668,6.41864275932312,6.808816909790039,6.322019100189209,6.770697116851807,6.761091947555542,6.772449254989624,6.7584075927734375,6.803951978683472,6.782886266708374,6.9203455448150635,6.742361545562744,9.844642877578735,9.71765947341919
62,4.992327451705933,5.215677261352539,5.365537643432617,5.467271327972412,5.257640361785889,5.64470911026001,5.15097713470459,5.525765657424927,5.538677215576172,5.592599153518677,5.534021377563477,5.541090488433838,5.550638914108276,5.674128293991089,5.565722227096558,8.090371370315552,7.9351348876953125
63,5.038190841674805,5.237778902053833,5.37228798866272,5.493189573287964,5.311992645263672,5.6204869747161865,5.157846927642822,5.592625141143799,5.54301381111145,5.557459354400635,5.5887675285339355,5.581784963607788,5.552499532699585,5.709395408630371,5.600414276123047,8.072782754898071,7.92464017868042
